Как называется высочайший стратовулкан в Африке?,(?i)Килиманджаро
Самая высокая гора на Земле?,(?i)Эверест|Сагарматха|Джомолунгма
Высочайшая точка Европы,(?i)Эльбрус|Монблан
Какова высота Эвереста в метрах?,8848|8850
На территории какой страны находится гора Арарат?,(?i)Турция
Сколько на Земле "восьмитысячников"?,14
Сколько "восьмитысячников" расположено в Гималаях?,10
Сколько "восьмитысячников" расположено в Карокоруме?,4
Сколько "восьмитысячников" расположено в Андах?,0
Какой восьмитысячник был покорен первым?,(?i)Аннапурна
